Meltinclusions,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,CaO,MgO,Na2O,NiO,P2O5,K2O,Total
STAP01bh_ol05_mi02,47.095,1.184,11.635,0.05,12.557,0.231,9.989,13.584,1.464,0.027,0.298,0.192,98.306
STAP01bh_ol06_mi01,48.57,1.236,13.577,0.065,10.68,0.208,10.753,10.921,1.941,0.025,0.197,0.162,98.336
STAP01bh_ol07_mi01,45.908,0.987,13.18,0.28,12.497,0.242,11.111,11.942,1.55,0.032,0.22,0.125,98.072
STAP01bh_ol08_mi01,46.813,1.552,12.559,0.063,11.527,0.226,11.236,11.574,1.934,0.021,0.239,0.075,97.82
STAP01bh2_ol04_mi01,46.815,1.362,12.103,0.062,12.936,0.227,10.429,11.924,1.564,0.051,0.267,0.191,97.931
STAP01bu_ol03_mi01,50.025,1.395,15.089,0.065,9.82,0.176,13.381,5.256,2.064,0.037,0.317,0.173,97.798
STAP01bu_ol04_mi01,48.112,2.126,14.043,0.081,11.476,0.223,12.645,6.451,2.013,0.012,0.381,0.276,97.84
STAP01u_ol01_mi03,48.34,1.281,13.742,0.057,12.194,0.217,11.091,8.065,2.031,0.033,0.354,0.232,97.636
